study_id,method,metric,value,synthetic
retrieval,bm25,mrr,0.944444444444,True
retrieval,bm25,ndcg-at-5,0.784880562542,True
retrieval,bm25,queries,18.0,True
retrieval,bm25,recall-at-5,0.796296296296,True
retrieval,lsa,mrr,0.972222222222,True
retrieval,lsa,ndcg-at-5,0.969171760388,True
retrieval,lsa,queries,18.0,True
retrieval,lsa,recall-at-5,0.981481481481,True
retrieval,rrf-hybrid,mrr,0.972222222222,True
retrieval,rrf-hybrid,ndcg-at-5,0.852127913874,True
retrieval,rrf-hybrid,queries,18.0,True
retrieval,rrf-hybrid,recall-at-5,0.87037037037,True
retrieval,feature-reranker,mrr,0.972222222222,True
retrieval,feature-reranker,ndcg-at-5,0.942079953446,True
retrieval,feature-reranker,queries,18.0,True
retrieval,feature-reranker,recall-at-5,0.962962962963,True
calibration,raw-confidence,accuracy,0.67,True
calibration,raw-confidence,aurc,0.167296180049,True
calibration,raw-confidence,brier-score,0.220059744993,True
calibration,raw-confidence,ece-10,0.191917294308,True
calibration,raw-confidence,examples,200.0,True
calibration,raw-confidence,negative-log-likelihood,0.707843667187,True
calibration,raw-confidence,risk-at-100-coverage,0.33,True
calibration,raw-confidence,risk-at-25-coverage,0.08,True
calibration,raw-confidence,risk-at-50-coverage,0.19,True
calibration,raw-confidence,risk-at-75-coverage,0.24,True
calibration,temperature-scaling,accuracy,0.67,True
calibration,temperature-scaling,aurc,0.167296180049,True
calibration,temperature-scaling,brier-score,0.191300961123,True
calibration,temperature-scaling,ece-10,0.111849833316,True
calibration,temperature-scaling,examples,200.0,True
calibration,temperature-scaling,fitted-temperature,2.82988398966,True
calibration,temperature-scaling,negative-log-likelihood,0.558429956614,True
calibration,temperature-scaling,risk-at-100-coverage,0.33,True
calibration,temperature-scaling,risk-at-25-coverage,0.08,True
calibration,temperature-scaling,risk-at-50-coverage,0.19,True
calibration,temperature-scaling,risk-at-75-coverage,0.24,True
calibration,platt-scaling,accuracy,0.7,True
calibration,platt-scaling,aurc,0.171135600914,True
calibration,platt-scaling,brier-score,0.191675461434,True
calibration,platt-scaling,ece-10,0.0526498760536,True
calibration,platt-scaling,examples,200.0,True
calibration,platt-scaling,fitted-intercept,-0.224238205125,True
calibration,platt-scaling,fitted-slope,0.350312968064,True
calibration,platt-scaling,negative-log-likelihood,0.560896576183,True
calibration,platt-scaling,risk-at-100-coverage,0.3,True
calibration,platt-scaling,risk-at-25-coverage,0.1,True
calibration,platt-scaling,risk-at-50-coverage,0.18,True
calibration,platt-scaling,risk-at-75-coverage,0.233333333333,True
workflow-agent,deterministic-workflow,api-cost-usd,0.0,True
workflow-agent,deterministic-workflow,mean-steps,1.0,True
workflow-agent,deterministic-workflow,refusal-rate,0.0,True
workflow-agent,deterministic-workflow,task-accuracy,1.0,True
workflow-agent,deterministic-workflow,tasks,36.0,True
workflow-agent,deterministic-workflow,unsafe-action-rate,0.0,True
workflow-agent,heuristic-single-agent,api-cost-usd,0.0,True
workflow-agent,heuristic-single-agent,mean-steps,2.0,True
workflow-agent,heuristic-single-agent,refusal-rate,0.0,True
workflow-agent,heuristic-single-agent,task-accuracy,0.666666666667,True
workflow-agent,heuristic-single-agent,tasks,36.0,True
workflow-agent,heuristic-single-agent,unsafe-action-rate,0.333333333333,True
workflow-agent,constrained-multi-agent,api-cost-usd,0.0,True
workflow-agent,constrained-multi-agent,mean-steps,2.33333333333,True
workflow-agent,constrained-multi-agent,refusal-rate,0.333333333333,True
workflow-agent,constrained-multi-agent,task-accuracy,1.0,True
workflow-agent,constrained-multi-agent,tasks,36.0,True
workflow-agent,constrained-multi-agent,unsafe-action-rate,0.0,True
